ID,Title,Description
1,12/5 Celebrate Computer Science at KSC: In-Person Experience,"Celebrate Computer Science at Kennedy Space Center: In-Person Participation Event Time: Thursday, December 5, 2024 8:30 a.m. to 3:00 p.m. EST Deadline: November 10, 2024 NASA's Celebrate Computer Science at Kennedy Space Center: In-Person Participation is a hybrid event for all informal and formal K-12 educators and students hosted at NASA’s Kennedy Space Center. Kennedy Space Center is one o..."
2,Lunar Autonomy Challenge Year1,"UPDATED DEADLINE – Applications are now due November 14, 2024 5:00 pm Eastern UPDATED APPLICATION PROCESS: To address submission challenges there are two changes to the application process (please review application updates in the Guidelines): 1. Complete Application packages need to be submitted through the Lunar Autonomy Challenge website https://lac.jhuapl.edu/apply NOTE: If you..."
3,12/4 “FIRST WOMEN Series” Live Q&A: NASA's 2024 Wings of Excellence Awardee,"12/4 “FIRST WOMEN Series” Live Q&A: NASA's 2024 Wings of Excellence Awardee Event Date: December 4, 2024, at 4 p.m. ET (Wednesday) Registration Deadline: November 18, 2024, at 11:59 p.m. ET (Monday) This year we are introducing a new series, 'FIRST WOMEN,' Virtual Classroom Connections. Women are making history at NASA every day and now we're giving you the chance to meet them. This series h..."
4,Celebrating Native American Heritage Month with NASA Internships,"Celebrating Native American Heritage Month with NASA Internships: Thursday, November 21, 2024 from 4–5 pm EST. Event Highlights: -Remarks from our feature speaker Joseph Connolly, https://www.nasa.gov/image-article/aerospace-engineer-joseph-connolly/ -Learn about NASA's initiative to increase American Indian and Alaska Native engagement in STEM. -NASA Internships 101: Gain insights into the ..."
5,FY25 NCAS Mission 1: Discover B,"Please review all the information on the NCAS website (http://go.nasa.gov/ncas), including the FAQ and other help pages before completing the application. Description: NASA Community College Aerospace Scholars (NCAS) is a STEM engagement activity for community college students seeking to transfer to a 4-year institution or go directly to the labor force. NCAS uses NASA’s unique expertise, resea..."
6,12/5 Celebrate Computer Science at KSC: Virtual Participation,"Celebrate Computer Science at Kennedy Space Center: Virtual Participation Event Time: Thursday, December 5, 2024 1:00 p.m. EST Deadline: November 25, 2024 NASA's Celebrate Computer Science at Kennedy Space Center: Virtual Participation is a hybrid event for all informal and formal K-12 educators and students. All schools are welcome to apply to join, virtually, as a panel of four NASA experts..."
7,12/11 Virtual Classroom Connection: Astro-Not-Yets! Explore Microgravity,"12/11 Virtual Classroom Connection: Astro-Not-Yets! Explore Microgravity Event Date: December 11, 2024, at 1 p.m. ET (Wednesday) Registration Deadline: November 27, 2024, at 11:59 p.m. ET (Wednesday) Attention K-4 Educators! We have an exciting opportunity for you to connect your classrooms this fall. Introducing the Astro-Not-Yets! The Astro-Not-Yets are a series of short stories to help..."
8,Exp 73 NGS In-Flight Education Downlinks,"In-Flight Education Downlinks are opportunities for students and educators to engage with astronauts aboard the International Space Station for a twenty-minute, question and answer session. Downlinks are available to formal and informal US-based education organizations and scheduled through a competitive proposal process. The target audience is K-12 students. The Expedition 73 proposal window..."
9,12/12 Surprisingly STEM Live Q&A: Memory Metal Engineer,"Event Date: December 12, 2024, at 4 p.m. ET (Thursday) Registration Deadline: December 5, 2024, at 11:59 p.m. ET (Thursday) Surprisingly STEM is a video series that highlights exciting and unexpected careers at NASA. This series is designed to inform students about the broad range of career opportunities at NASA – outside of the typical associations of rocket scientists and astronauts – and to..."
10,2024-25 NASA STEM Kids Virtual Event Group Registration: Artemis,"The NASA Glenn Research Center’s Office of Science, Technology, Engineering, and Mathematics (STEM) Engagement has a strong interest in engaging youth in STEM and inspiring their pursuit of STEM careers. NASA STEM Kids Virtual Events will engage Kindergarten through fourth grade (K-4) students in the excitement of NASA’s missions of exploration and discovery through virtual tours, conversations wi..."
11,NASA Jet Propulsion Laboratory (JPL) Internship Opportunities. SG - Spring 2025,"Description We invite students majoring in the fields of Science, Technology, Engineering and Mathematics (STEM) to apply for internship opportunities to collaborate side-by-side with scientists and engineers in our creative and diverse research community. JPL’s technical competencies revolve around end-to-end implementation of unprecedented robotic space missions that study Earth, the solar syst..."
12,2025 Aviation Concept Design Experience,OVERVIEW: Aviation Systems Division Concept Design Experience for High School Students has 3 goals: 1. Learn about the exciting aerospace opportunities within the Aviation Systems Division at Ames Research Center in the heart of the Silicon Valley. 2. Develop and propose an aviation concept or application to help solve a current or future “wicked” real-world problem. 3. Gain experience and expa...
13,Office of Communications Intern,"This intern position is to serve as a generalist in the Office of Communications at NASA’s Stennis Space Center. The Office of Communications provides a wide variety of services to the center and agency. This position will provide opportunities to work with the OCOMM team in support of the full portfolio of work requirements in areas of social and traditional media, internal communications, specia..."
14,NASA Audio Storytelling Internship,"NASA is looking (and listening) for a new type of audio storyteller to help us craft compelling audio content for a new, short-form NASA podcast. You will be working on stories from a diverse set of science and technology themes such as planetary, Earth science, heliophysics and astrophysics.​ You'll gain on-the-job experience as you research, script and produce audio stories about some of NASA's ..."
15,"NASA Journalism, Multimedia, Social Media Internships","NASA invites students pursuing degrees in journalism, communications, media relations, science writing, convergence journalism, or broadcast journalism to join our science storytelling program. You'll gain hands-on experience as you collaborate with a leading team of writers and multimedia producers to create and share content from NASA's most exciting science missions, including mind-bending resu..."
16,NASA Audio Storytelling Internship,"NASA is looking (and listening) for a new type of audio storyteller to help us craft compelling audio content for a new, short-form NASA podcast. You will be working on stories from a diverse set of science and technology themes such as planetary, Earth science, heliophysics and astrophysics.​ You'll gain on-the-job experience as you research, script and produce audio stories about some of NASA's ..."
