ID,Title,Education Level,URL,Majors
1,Human Resources,Undergraduate and Graduate students,https://nasa.usajobs.gov/job/804519800,"Business, Communications, Human Resources, Industrial/Organizational Psychology, Organizational Development, Organizational Behavior, Sociology"
2,Aerospace or Aeronautical Engineering,Undergraduate and Graduate students,https://nasa.usajobs.gov/job/804503500,"Aeronautical Engineering, Aerospace Engineering, Astronautical Engineering"
3,Computer or Software Engineering,Undergraduate and Graduate students,https://nasa.usajobs.gov/job/804519600,"Computer Engineering, Computer Science, Computational Science & Engineering, Software Engineering"
4,Electrical Engineering,Undergraduate and Graduate students,https://nasa.usajobs.gov/job/804504100,"Electrical Engineering, Electronics Engineering, Optical Engineering, Optical Sciences"
5,Engineering,Doctorate-level students,https://nasa.usajobs.gov/job/804506300,"Aeronautical Engineering, Aerospace Engineering, Astronautical Engineering, Biology, Biomedical Engineering, Chemical Engineering, Chemistry, Computational Science & and Engineering, Computer Engineering, Computer Science, Civil Engineering, Electrical Engineering, Electronics Engineering, Engineering Mechanics, Engineering Physics, Human Factors Engineering, Industrial Engineering, Materials Engineering, Materials Science, Molecular Engineering, Mechanical Engineering, Mechatronics, Microbiology, Metallurgical Engineering, Nuclear Engineering, Organic Chemistry, Optical Sciences, Optical Engineering, Polymer Engineering, Photonics, Physics, Planetary Science, Polymer Chemistry, Software Engineering, Systems Engineering"
6,Engineering Physics,Undergraduate and Graduate students,https://nasa.usajobs.gov/job/804501500,"Chemical Physics, Engineering Physics, Nuclear Engineering, Physics, Photonics"
7,Industrial or Civil Engineering,Undergraduate and Graduate students,https://nasa.usajobs.gov/job/804501100,"Architecture, Civil Engineering, Industrial Engineering, Systems Engineering"
8,Materials or Chemical Engineering,Undergraduate and Graduate students,https://nasa.usajobs.gov/job/804518600,"Ceramic Engineering, Chemical Engineering, Chemistry, Materials Engineering, Materials Science, Metallurgical Engineering, Molecular Engineering and Organic, Polymer Chemistry, Polymer Engineering, Welding Engineering"
9,Mechanical Engineering,Undergraduate and Graduate students,https://nasa.usajobs.gov/job/804505800,"Engineering Mechanics, Mechanical Engineering, Mechatronics, Robotics Engineering"
10,Research Engineering,Doctorate-level students,https://nasa.usajobs.gov/job/804500600,"Aerospace/Aeronautical Engineering, Chemistry, Computer Engineering, Computer Science, Computing, Electrical Engineering, Human Factors, Machine Learning, Materials Science, Mechanical Engineering, Systems Engineering"
11,"Mathematics and Statistics, Computer Science",Undergraduate and Graduate students,https://nasa.usajobs.gov/job/804499700,"Computer Engineering, Computer Science, Data Science, Mathematics, Statistics"
12,Information Technology,Undergraduate and Graduate students,https://nasa.usajobs.gov/job/804520400,"Business, Computer Science, Cloud Computing, Cybersecurity, Data Science, Info Science, Information Science & Technology, Management Information Systems, Network Administration, Network Communications Management, Network Forensics, Network Operations & Security, Software Applications & Systems Development, Systems Engineering"
13,Administration and Program Management and Analysis,Undergraduate and Graduate students,https://nasa.usajobs.gov/job/804518200,"Anthropology, Application and Systems Development, Business Administration, Business Information, Cognitive Science, Communications, Community or Urban and Regional Planning Management, Data Analytics, Digital Transformation, Economics, Engineering Management, Financial Management, Fine Arts, Geography, Graft Design, Information Systems Management, Office Management, Office Space Planning, Project Management, Psychology, Public Administration, Public Policy, Record Management, Scheduling, Technology Management"
14,Accounting and Budget,Undergraduate and Graduate students,https://nasa.usajobs.gov/job/804515400,"Accounting, Business Administration, Finance, Management, Public Administration"
15,Procurement and Contracts (Business and Industry),Undergraduate Graduate students,https://nasa.usajobs.gov/job/804507200,"Accounting, Business Administration & Management, Contract Management, Economics, Finance, Industrial Management, Logistics, Management & Quantitative Methods, Marketing, Organizational Management, Procurement, Supply Chain Management"
16,Biomedical or Human Factors Engineering,Undergraduate and Graduate students,https://nasa.usajobs.gov/job/804501300,"Biology, Biomedical Engineering, Human Factors Engineering, Microbiology"
17,Physical Sciences,Undergraduate and Graduate students, https://nasa.usajobs.gov/job/804520800,"Aerospace Engineering, Astronomy, Astrophysics, Biochemistry, Chemistry, Computer Engineering, Computer Science, Electrical Engineering, Environmental Engineering, Environmental Science, Geology, Mathematics, Meteorology, Mechanical Engineering, Physics, Planetary Science, Space Science"
18,Communication and Public Relations,Undergraduate and Graduate students,https://nasa.usajobs.gov/job/804500200,"Advertising, Business Management/Administration, Broadcast, Communications, Digital Media, Education, Event Management, Film and TV Production, Graphic Design, Journalism, Logistics, Marketing, Media, Public Relations, Public Affairs"
19,Engineering (Fire Protection),Undergraduate and Graduate students,https://nasa.usajobs.gov/job/804498800,"Fire Protection Engineering"
20,Engineering Technician,Associate/Bachelor Degree Students,https://nasa.usajobs.gov/job/804522200,"Aerospace Engineering Technology, Computer Aided Drafting Design Technology, Drafting, Electrical Engineering Technology, Electronics Engineering Technology, Industrial Technology, Manufacturing Engineering Technology, Mechanical Engineering Technology, Mechatronics "
