ID,Title,Description,URL,Type
1,12/4 “FIRST WOMEN Series” Live Q&A: NASA's 2024 Wings of Excellence Awardee,"12/4 “FIRST WOMEN Series” Live Q&A: NASA's 2024 Wings of Excellence Awardee Event Date: December 4, 2024, at 4 p.m. ET (Wednesday) Registration Deadline: November 18, 2024, at 11:59 p.m. ET (Monday) This year we are introducing a new series, 'FIRST WOMEN,' Virtual Classroom Connections. Women are making history at NASA every day and now we're giving you the chance to meet them. This series h...",https://stemgateway.nasa.gov/s/course-offering/a0B3d0000025iVkEAI/124-first-women-series-live-qa-nasas-2024-wings-of-excellence-awardee,Educator
2,Celebrating Native American Heritage Month with NASA Internships,"Celebrating Native American Heritage Month with NASA Internships: Thursday, November 21, 2024 from 4–5 pm EST. Event Highlights: -Remarks from our feature speaker Joseph Connolly, https://www.nasa.gov/image-article/aerospace-engineer-joseph-connolly/ -Learn about NASA's initiative to increase American Indian and Alaska Native engagement in STEM. -NASA Internships 101: Gain insights into the ...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000tLVF2A2/celebrating-native-american-heritage-month-with-nasa-internships,Student and Educator
3,FY25 NCAS Mission 1: Discover B,"Please review all the information on the NCAS website (http://go.nasa.gov/ncas), including the FAQ and other help pages before completing the application. Description: NASA Community College Aerospace Scholars (NCAS) is a STEM engagement activity for community college students seeking to transfer to a 4-year institution or go directly to the labor force. NCAS uses NASA’s unique expertise, resea...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000DX6D2AW/fy25-ncas-mission-1-discover-b,Student
4,12/5 Celebrate Computer Science at KSC: Virtual Participation,"Celebrate Computer Science at Kennedy Space Center: Virtual Participation Event Time: Thursday, December 5, 2024 1:00 p.m. EST Deadline: November 25, 2024 NASA's Celebrate Computer Science at Kennedy Space Center: Virtual Participation is a hybrid event for all informal and formal K-12 educators and students. All schools are welcome to apply to join, virtually, as a panel of four NASA experts...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000MCH52AO/125-celebrate-computer-science-at-ksc-virtual-participation,Educator
5,12/11 Virtual Classroom Connection: Astro-Not-Yets! Explore Microgravity,"12/11 Virtual Classroom Connection: Astro-Not-Yets! Explore Microgravity Event Date: December 11, 2024, at 1 p.m. ET (Wednesday) Registration Deadline: November 27, 2024, at 11:59 p.m. ET (Wednesday) Attention K-4 Educators! We have an exciting opportunity for you to connect your classrooms this fall. Introducing the Astro-Not-Yets! The Astro-Not-Yets are a series of short stories to help...",https://stemgateway.nasa.gov/s/course-offering/a0B3d0000028SdGEAU/1211-virtual-classroom-connection-astro-not-yets-explore-microgravity,Educator
6,Exp 73 NGS In-Flight Education Downlinks,"In-Flight Education Downlinks are opportunities for students and educators to engage with astronauts aboard the International Space Station for a twenty-minute, question and answer session. Downlinks are available to formal and informal US-based education organizations and scheduled through a competitive proposal process. The target audience is K-12 students. The Expedition 73 proposal window...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000RDlx2AG/exp-73-ngs-in-flight-education-downlinks,Educator
7,12/12 Surprisingly STEM Live Q&A: Memory Metal Engineer,"Event Date: December 12, 2024, at 4 p.m. ET (Thursday) Registration Deadline: December 5, 2024, at 11:59 p.m. ET (Thursday) Surprisingly STEM is a video series that highlights exciting and unexpected careers at NASA. This series is designed to inform students about the broad range of career opportunities at NASA – outside of the typical associations of rocket scientists and astronauts – and to...",https://stemgateway.nasa.gov/s/course-offering/a0B3d0000025iN2EAI/1212-surprisingly-stem-live-qa-memory-metal-engineer,Educator
8,2024-25 NASA STEM Kids Virtual Event Group Registration: Artemis,"The NASA Glenn Research Center’s Office of Science, Technology, Engineering, and Mathematics (STEM) Engagement has a strong interest in engaging youth in STEM and inspiring their pursuit of STEM careers. NASA STEM Kids Virtual Events will engage Kindergarten through fourth grade (K-4) students in the excitement of NASA’s missions of exploration and discovery through virtual tours, conversations wi...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000zHtZ2AU/2024-25-nasa-stem-kids-virtual-event-group-registration-artemis,Student
9,2024-25 NASA STEM Kids Virtual Event Individual Registration: Artemis,"The NASA Glenn Research Center’s Office of Science, Technology, Engineering, and Mathematics (STEM) Engagement has a strong interest in engaging youth in STEM and inspiring their pursuit of STEM careers. NASA STEM Kids Virtual Events will engage Kindergarten through fourth grade (K-4) students in the excitement of NASA’s missions of exploration and discovery through virtual tours, conversations wi...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ0000016jzZ2AQ/2024-25-nasa-stem-kids-virtual-event-individual-registration-artemis,Student
10,NASA Jet Propulsion Laboratory (JPL) Internship Opportunities. SG - Spring 2025,"Description We invite students majoring in the fields of Science, Technology, Engineering and Mathematics (STEM) to apply for internship opportunities to collaborate side-by-side with scientists and engineers in our creative and diverse research community. JPL’s technical competencies revolve around end-to-end implementation of unprecedented robotic space missions that study Earth, the solar syst...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000EKmr2AG/nasa-jet-propulsion-laboratory-jpl-internship-opportunities-sg---spring-2025,Student and Educator
11,2024-2025 NASA Glenn Winter University Day (Group),"University Day is a virtual event designed to inspire and provide an opportunity for graduate and undergraduate students to learn about NASA’s Internship Program. This engaging event will include details of how to apply for a NASA internship, a virtual tour of a NASA Glenn facility, and engage in a Q&A intern panel with NASA interns and mentors. All High Schools and Colleges Registration Opens...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ0000019XYr2AM/2024-2025-nasa-glenn-winter-university-day-group,Student
12,2024-2025 NASA Glenn Winter University Day,"University Day is a virtual event designed to inspire and provide an opportunity for graduate and undergraduate students to learn about NASA’s Internship Program. This engaging event will include details of how to apply for a NASA internship, a virtual tour of a NASA Glenn facility, and engage in a Q&A intern panel with NASA interns and mentors. All High Schools and Colleges Registration Opens...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ0000019YoH2AU/2024-2025-nasa-glenn-winter-university-day,Student
13,2025 Aviation Concept Design Experience,OVERVIEW: Aviation Systems Division Concept Design Experience for High School Students has 3 goals: 1. Learn about the exciting aerospace opportunities within the Aviation Systems Division at Ames Research Center in the heart of the Silicon Valley. 2. Develop and propose an aviation concept or application to help solve a current or future “wicked” real-world problem. 3. Gain experience and expa...,https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000wzPh2AI/2025-aviation-concept-design-experience,Student
14,NASA STEM for All Abilities,"Join NASA Oklahoma Space Grant (OKSG), No Boundaries ERG (NoBos), The Office of STEM Engagement (OSTEM), and others on February 5, 2025, from 6PM-8PM at the Gilruth Center right outside the gates of Johnson Space Center for an inclusive STEM Engagement Event at Johnson Space Center! This event, designed for children and young adults with disabilities and their families, will feature 15 hands-on ...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ0000013nV32AI/nasa-stem-for-all-abilities,Student
15,NASA Audio Storytelling Internship,"NASA is looking (and listening) for a new type of audio storyteller to help us craft compelling audio content for a new, short-form NASA podcast. You will be working on stories from a diverse set of science and technology themes such as planetary, Earth science, heliophysics and astrophysics.​ You'll gain on-the-job experience as you research, script and produce audio stories about some of NASA's ...",https://stemgateway.nasa.gov/s/course-offering/a0B3d000002BXsUEAW/nasa-audio-storytelling-internship,Student
16,"NASA Spanish-language Journalism, Multimedia, Social Media Intern","NASA invites native Spanish-speaking students working towards degrees in journalism, communications, media relations, marketing, science writing, convergence journalism, or broadcast journalism to participate in our science storytelling program. You'll gain on-the-job experience as you work with a leading team of writers and multimedia producers to create and share content from NASA's most excitin...",https://stemgateway.nasa.gov/s/course-offering/a0B3d000002BXwHEAW/nasa-spanish-language-journalism-multimedia-social-media-intern,Student
17,On-Orbit Satellite Servicing R&D,"NASA and other government agencies are interested in the emerging field of in space propellant transfer. To achieve this, several technologies require development to endure the launch and space environments. The intern will be supporting ongoing hands-on fluids testing in the KSC Vehicle Assembly Building, analysis, and the general research and development of hardware related to on orbit satellit...",https://stemgateway.nasa.gov/s/course-offering/a0B3d000002BmpDEAS/on-orbit-satellite-servicing-rd,Student
18,Engineering Cost Team Internship,"The student will perform research into estimating the cost of Space nuclear propulsion systems to inform reactor and non-nuclear engine studies. Project Cost Estimating Capability (PCEC) and SEER-H will be used during the estimating effort. Research will include historical nuclear systems, current efforts both NASA and DoD, as well as some DOE program developments. Additional effort may be expende...",https://stemgateway.nasa.gov/s/course-offering/a0B3d000002Bp7oEAC/engineering-cost-team-internship,Student
